score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
10,7
10,8
12,9
15,10
15,11
15,12
15,13
15,14
24,15
26,16
29,17
29,18
38,19
38,20
38,21
38,22
41,23
41,24
45,25
45,26
56,27
58,28
58,29
65,30
76,31
76,32
78,33
78,34
78,35
92,36
92,37
97,38
97,39
97,40
97,41
102,42
102,43
102,44
102,45
102,46
105,47
105,48
107,49
107,50
107,51
110,52
125,53
140,54
160,55
165,56
165,57
168,58
194,59
195,60
195,61
195,62
199,63
199,64
201,65
201,66
201,67
201,68
210,69
210,70
213,71
217,72
219,73
222,74
222,75
222,76
222,77
233,78
233,79
233,80
233,81
236,82
236,83
237,84
246,85
249,86
253,87
253,88
253,89
262,90
262,91
287,92
288,93
290,94
290,95
295,96
295,97
295,98
296,99
296,100
296,101
296,102
301,103
301,104
301,105
301,106
301,107
315,108
315,109
315,110
315,111
318,112
318,113
323,114
323,115
338,116
342,117
342,118
345,119
345,120
345,121
345,122
345,123
345,124
