score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
8,9
8,10
8,11
8,12
8,13
15,14
20,15
25,16
29,17
29,18
32,19
32,20
35,21
35,22
37,23
48,24
48,25
48,26
48,27
52,28
81,29
86,30
86,31
90,32
90,33
90,34
90,35
92,36
92,37
92,38
99,39
99,40
99,41
120,42
121,43
121,44
130,45
137,46
137,47
137,48
141,49
141,50
148,51
174,52
174,53
179,54
179,55
184,56
184,57
195,58
196,59
198,60
198,61
198,62
198,63
204,64
215,65
215,66
215,67
215,68
215,69
215,70
218,71
218,72
218,73
218,74
218,75
223,76
232,77
232,78
232,79
232,80
232,81
232,82
235,83
235,84
240,85
244,86
250,87
250,88
258,89
260,90
260,91
260,92
263,93
270,94
270,95
279,96
282,97
282,98
286,99
286,100
286,101
308,102
308,103
308,104
308,105
311,106
311,107
343,108
343,109
350,110
350,111
350,112
350,113
350,114
357,115
360,116
361,117
376,118
376,119
381,120
381,121
385,122
385,123
385,124
386,125
388,126
388,127
388,128
388,129
391,130
395,131
