score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
15,8
18,9
18,10
18,11
18,12
18,13
18,14
29,15
29,16
29,17
29,18
29,19
33,20
36,21
36,22
36,23
36,24
36,25
36,26
40,27
69,28
69,29
72,30
74,31
99,32
99,33
101,34
101,35
101,36
101,37
115,38
115,39
115,40
115,41
115,42
115,43
116,44
121,45
121,46
121,47
121,48
122,49
122,50
122,51
142,52
146,53
146,54
151,55
151,56
151,57
151,58
151,59
151,60
160,61
160,62
163,63
180,64
202,65
202,66
202,67
202,68
202,69
208,70
208,71
208,72
213,73
213,74
215,75
216,76
221,77
221,78
221,79
235,80
235,81
236,82
238,83
238,84
238,85
238,86
238,87
262,88
262,89
262,90
277,91
277,92
277,93
280,94
280,95
284,96
284,97
288,98
288,99
310,100
310,101
310,102
310,103
315,104
315,105
315,106
315,107
320,108
322,109
322,110
326,111
337,112
337,113
337,114
337,115
337,116
339,117
345,118
349,119
349,120
352,121
352,122
352,123
358,124
358,125
358,126
361,127
361,128
361,129
361,130
366,131
366,132
367,133
367,134
407,135
416,136
416,137
419,138
419,139
419,140
421,141
424,142
424,143
435,144
435,145
436,146
436,147
436,148
436,149
436,150
436,151
443,152
443,153
443,154
452,155
452,156
452,157
452,158
